Ortho_No	Organism1	LncRNA1	LncRNA_Id1	Organism2	LncRNA2
Ortho2602	Human	TCONS_00077224	hsa_TCONS_00077224	Chimp	TCONS_00038497
Ortho2603	Human	TCONS_00077224	hsa_TCONS_00077224	Chimp	TCONS_00038498
Ortho2604	Human	TCONS_00077225	hsa_TCONS_00077225	Chimp	TCONS_00038496
Ortho2605	Human	TCONS_00077225	hsa_TCONS_00077225	Chimp	TCONS_00038497
Ortho2606	Human	TCONS_00077225	hsa_TCONS_00077225	Chimp	TCONS_00038498
Ortho2607	Human	TCONS_00077226	hsa_TCONS_00077226	Chimp	TCONS_00038506
Ortho2608	Human	TCONS_00077243	hsa_TCONS_00077243	Chimp	TCONS_00038511
Ortho2609	Human	TCONS_00077244	hsa_TCONS_00077244	Chimp	TCONS_00038511
Ortho2610	Human	TCONS_00077245	hsa_TCONS_00077245	Chimp	TCONS_00038511
Ortho2611	Human	TCONS_00077392	hsa_TCONS_00077392	Chimp	TCONS_00038579
Ortho2612	Human	TCONS_00077489	hsa_TCONS_00077489	Chimp	TCONS_00038633
Ortho2613	Human	TCONS_00077489	hsa_TCONS_00077489	Chimp	TCONS_00038634
Ortho2614	Human	TCONS_00077505	hsa_TCONS_00077505	Chimp	TCONS_00038647
Ortho2615	Human	TCONS_00077520	hsa_TCONS_00077520	Chimp	TCONS_00038666
Ortho2616	Human	TCONS_00077531	hsa_TCONS_00077531	Chimp	TCONS_00038673
Ortho2617	Human	TCONS_00077533	hsa_TCONS_00077533	Chimp	TCONS_00038675
Ortho2618	Human	TCONS_00077534	hsa_TCONS_00077534	Chimp	TCONS_00038675
Ortho2619	Human	TCONS_00077637	hsa_TCONS_00077637	Chimp	TCONS_00038721
Ortho2620	Human	TCONS_00077688	hsa_TCONS_00077688	Chimp	TCONS_00039642
Ortho2621	Human	TCONS_00077689	hsa_TCONS_00077689	Chimp	TCONS_00039642
Ortho2622	Human	TCONS_00077716	hsa_TCONS_00077716	Chimp	TCONS_00038760
Ortho2623	Human	TCONS_00077739	hsa_TCONS_00077739	Chimp	TCONS_00038778
Ortho2624	Human	TCONS_00077739	hsa_TCONS_00077739	Chimp	TCONS_00038779
Ortho2625	Human	TCONS_00077740	hsa_TCONS_00077740	Chimp	TCONS_00038778
Ortho2626	Human	TCONS_00077740	hsa_TCONS_00077740	Chimp	TCONS_00038779
Ortho2627	Human	TCONS_00077926	hsa_TCONS_00077926	Chimp	TCONS_00038871
Ortho2628	Human	TCONS_00077938	hsa_TCONS_00077938	Chimp	TCONS_00038878
Ortho2629	Human	TCONS_00077938	hsa_TCONS_00077938	Chimp	TCONS_00038879
Ortho2630	Human	TCONS_00077938	hsa_TCONS_00077938	Chimp	TCONS_00038880
Ortho2631	Human	TCONS_00077938	hsa_TCONS_00077938	Chimp	TCONS_00038881
Ortho2632	Human	TCONS_00077939	hsa_TCONS_00077939	Chimp	TCONS_00038878
Ortho2633	Human	TCONS_00077939	hsa_TCONS_00077939	Chimp	TCONS_00038879
Ortho2634	Human	TCONS_00077939	hsa_TCONS_00077939	Chimp	TCONS_00038880
Ortho2635	Human	TCONS_00077939	hsa_TCONS_00077939	Chimp	TCONS_00038881
Ortho2636	Human	TCONS_00077940	hsa_TCONS_00077940	Chimp	TCONS_00038878
Ortho2637	Human	TCONS_00077940	hsa_TCONS_00077940	Chimp	TCONS_00038879
Ortho2638	Human	TCONS_00077940	hsa_TCONS_00077940	Chimp	TCONS_00038880
Ortho2639	Human	TCONS_00077940	hsa_TCONS_00077940	Chimp	TCONS_00038881
Ortho2640	Human	TCONS_00077947	hsa_TCONS_00077947	Chimp	TCONS_00038885
Ortho2641	Human	TCONS_00077947	hsa_TCONS_00077947	Chimp	TCONS_00038886
Ortho2642	Human	TCONS_00077947	hsa_TCONS_00077947	Chimp	TCONS_00038887
Ortho2643	Human	TCONS_00077947	hsa_TCONS_00077947	Chimp	TCONS_00038888
Ortho2644	Human	TCONS_00077948	hsa_TCONS_00077948	Chimp	TCONS_00038885
Ortho2645	Human	TCONS_00077948	hsa_TCONS_00077948	Chimp	TCONS_00038886
Ortho2646	Human	TCONS_00077948	hsa_TCONS_00077948	Chimp	TCONS_00038887
Ortho2647	Human	TCONS_00077948	hsa_TCONS_00077948	Chimp	TCONS_00038888
Ortho2648	Human	TCONS_00077963	hsa_TCONS_00077963	Chimp	TCONS_00038897
Ortho2649	Human	TCONS_00077963	hsa_TCONS_00077963	Chimp	TCONS_00038898
Ortho2650	Human	TCONS_00077963	hsa_TCONS_00077963	Chimp	TCONS_00038903
Ortho2651	Human	TCONS_00077963	hsa_TCONS_00077963	Chimp	TCONS_00038904
Ortho2652	Human	TCONS_00078071	hsa_TCONS_00078071	Chimp	TCONS_00038166
Ortho2653	Human	TCONS_00078071	hsa_TCONS_00078071	Chimp	TCONS_00038167
Ortho2654	Human	TCONS_00078129	hsa_TCONS_00078129	Chimp	TCONS_00038140
Ortho2655	Human	TCONS_00078136	hsa_TCONS_00078136	Chimp	TCONS_00038136
Ortho2656	Human	TCONS_00078141	hsa_TCONS_00078141	Chimp	TCONS_00038132
Ortho2657	Human	TCONS_00078143	hsa_TCONS_00078143	Chimp	TCONS_00038132
Ortho2658	Human	TCONS_00078143	hsa_TCONS_00078143	Chimp	TCONS_00038133
Ortho2659	Human	TCONS_00078187	hsa_TCONS_00078187	Chimp	TCONS_00038112
Ortho2660	Human	TCONS_00078188	hsa_TCONS_00078188	Chimp	TCONS_00038109
Ortho2661	Human	TCONS_00078192	hsa_TCONS_00078192	Chimp	TCONS_00038109
Ortho2662	Human	TCONS_00078222	hsa_TCONS_00078222	Chimp	TCONS_00038089
Ortho2663	Human	TCONS_00078250	hsa_TCONS_00078250	Chimp	TCONS_00038080
Ortho2664	Human	TCONS_00078347	hsa_TCONS_00078347	Chimp	TCONS_00038022
Ortho2665	Human	TCONS_00078347	hsa_TCONS_00078347	Chimp	TCONS_00038023
Ortho2666	Human	TCONS_00078347	hsa_TCONS_00078347	Chimp	TCONS_00038024
Ortho2667	Human	TCONS_00078348	hsa_TCONS_00078348	Chimp	TCONS_00038022
Ortho2668	Human	TCONS_00078348	hsa_TCONS_00078348	Chimp	TCONS_00038024
Ortho2669	Human	TCONS_00078362	hsa_TCONS_00078362	Chimp	TCONS_00038017
Ortho2670	Human	TCONS_00078383	hsa_TCONS_00078383	Chimp	TCONS_00038007
Ortho2671	Human	TCONS_00078476	hsa_TCONS_00078476	Chimp	TCONS_00037968
Ortho2672	Human	TCONS_00078541	hsa_TCONS_00078541	Chimp	TCONS_00039168
Ortho2673	Human	TCONS_00078595	hsa_TCONS_00078595	Chimp	TCONS_00039189
Ortho2674	Human	TCONS_00078595	hsa_TCONS_00078595	Chimp	TCONS_00039190
Ortho2675	Human	TCONS_00078666	hsa_TCONS_00078666	Chimp	TCONS_00039219
Ortho2676	Human	TCONS_00078679	hsa_TCONS_00078679	Chimp	TCONS_00038248
Ortho2677	Human	TCONS_00078770	hsa_TCONS_00078770	Chimp	TCONS_00039260
Ortho2678	Human	TCONS_00078771	hsa_TCONS_00078771	Chimp	TCONS_00039261
Ortho2679	Human	TCONS_00078848	hsa_TCONS_00078848	Chimp	TCONS_00039296
Ortho2680	Human	TCONS_00078858	hsa_TCONS_00078858	Chimp	TCONS_00039303
Ortho2681	Human	TCONS_00078863	hsa_TCONS_00078863	Chimp	TCONS_00039304
Ortho2682	Human	TCONS_00078864	hsa_TCONS_00078864	Chimp	TCONS_00039303
Ortho2683	Human	TCONS_00078926	hsa_TCONS_00078926	Chimp	TCONS_00039340
Ortho2684	Human	TCONS_00078926	hsa_TCONS_00078926	Chimp	TCONS_00039341
Ortho2685	Human	TCONS_00078926	hsa_TCONS_00078926	Chimp	TCONS_00039342
Ortho2686	Human	TCONS_00078926	hsa_TCONS_00078926	Chimp	TCONS_00039343
Ortho2687	Human	TCONS_00078926	hsa_TCONS_00078926	Chimp	TCONS_00039345
Ortho2688	Human	TCONS_00078927	hsa_TCONS_00078927	Chimp	TCONS_00039340
Ortho2689	Human	TCONS_00078927	hsa_TCONS_00078927	Chimp	TCONS_00039341
Ortho2690	Human	TCONS_00078927	hsa_TCONS_00078927	Chimp	TCONS_00039342
Ortho2691	Human	TCONS_00078927	hsa_TCONS_00078927	Chimp	TCONS_00039343
Ortho2692	Human	TCONS_00078927	hsa_TCONS_00078927	Chimp	TCONS_00039345
Ortho2693	Human	TCONS_00078944	hsa_TCONS_00078944	Chimp	TCONS_00039348
Ortho2694	Human	TCONS_00078944	hsa_TCONS_00078944	Chimp	TCONS_00039349
Ortho2695	Human	TCONS_00078967	hsa_TCONS_00078967	Chimp	TCONS_00039361
Ortho2696	Human	TCONS_00078968	hsa_TCONS_00078968	Chimp	TCONS_00039364
Ortho2697	Human	TCONS_00078969	hsa_TCONS_00078969	Chimp	TCONS_00039364
Ortho2698	Human	TCONS_00079010	hsa_TCONS_00079010	Chimp	TCONS_00039384
Ortho2699	Human	TCONS_00079131	hsa_TCONS_00079131	Chimp	TCONS_00039439
Ortho2700	Human	TCONS_00079131	hsa_TCONS_00079131	Chimp	TCONS_00039440
Ortho2701	Human	TCONS_00079154	hsa_TCONS_00079154	Chimp	TCONS_00039448
Ortho2702	Human	TCONS_00079155	hsa_TCONS_00079155	Chimp	TCONS_00039448
Ortho2703	Human	TCONS_00079181	hsa_TCONS_00079181	Chimp	TCONS_00039462
Ortho2704	Human	TCONS_00079182	hsa_TCONS_00079182	Chimp	TCONS_00039462
Ortho2705	Human	TCONS_00079188	hsa_TCONS_00079188	Chimp	TCONS_00039467
Ortho2706	Human	TCONS_00079197	hsa_TCONS_00079197	Chimp	TCONS_00039475
Ortho2707	Human	TCONS_00079269	hsa_TCONS_00079269	Chimp	TCONS_00039499
Ortho2708	Human	TCONS_00079277	hsa_TCONS_00079277	Chimp	TCONS_00039502
Ortho2709	Human	TCONS_00079450	hsa_TCONS_00079450	Chimp	TCONS_00039587
Ortho2710	Human	TCONS_00079451	hsa_TCONS_00079451	Chimp	TCONS_00039587
Ortho2711	Human	TCONS_00079452	hsa_TCONS_00079452	Chimp	TCONS_00039587
Ortho2712	Human	TCONS_00079465	hsa_TCONS_00079465	Chimp	TCONS_00052452
Ortho2713	Human	TCONS_00079466	hsa_TCONS_00079466	Chimp	TCONS_00039612
Ortho2714	Human	TCONS_00079548	hsa_TCONS_00079548	Chimp	TCONS_00039709
Ortho2715	Human	TCONS_00079549	hsa_TCONS_00079549	Chimp	TCONS_00039709
Ortho2716	Human	TCONS_00079550	hsa_TCONS_00079550	Chimp	TCONS_00039709
Ortho2717	Human	TCONS_00079569	hsa_TCONS_00079569	Chimp	TCONS_00039728
Ortho2718	Human	TCONS_00079569	hsa_TCONS_00079569	Chimp	TCONS_00039729
Ortho2719	Human	TCONS_00079569	hsa_TCONS_00079569	Chimp	TCONS_00039730
Ortho2720	Human	TCONS_00079571	hsa_TCONS_00079571	Chimp	TCONS_00039728
Ortho2721	Human	TCONS_00079571	hsa_TCONS_00079571	Chimp	TCONS_00039729
Ortho2722	Human	TCONS_00079571	hsa_TCONS_00079571	Chimp	TCONS_00039730
Ortho2723	Human	TCONS_00079581	hsa_TCONS_00079581	Chimp	TCONS_00039735
Ortho2724	Human	TCONS_00079581	hsa_TCONS_00079581	Chimp	TCONS_00039736
Ortho2725	Human	TCONS_00079583	hsa_TCONS_00079583	Chimp	TCONS_00039736
Ortho2726	Human	TCONS_00079584	hsa_TCONS_00079584	Chimp	TCONS_00039735
Ortho2727	Human	TCONS_00079584	hsa_TCONS_00079584	Chimp	TCONS_00039736
Ortho2728	Human	TCONS_00079585	hsa_TCONS_00079585	Chimp	TCONS_00039735
Ortho2729	Human	TCONS_00079585	hsa_TCONS_00079585	Chimp	TCONS_00039736
Ortho2730	Human	TCONS_00079587	hsa_TCONS_00079587	Chimp	TCONS_00039737
Ortho2731	Human	TCONS_00079603	hsa_TCONS_00079603	Chimp	TCONS_00039743
Ortho2732	Human	TCONS_00079619	hsa_TCONS_00079619	Chimp	TCONS_00039750
Ortho2733	Human	TCONS_00079621	hsa_TCONS_00079621	Chimp	TCONS_00039751
Ortho2734	Human	TCONS_00079639	hsa_TCONS_00079639	Chimp	TCONS_00049838
Ortho2735	Human	TCONS_00079665	hsa_TCONS_00079665	Chimp	TCONS_00039770
Ortho2736	Human	TCONS_00079667	hsa_TCONS_00079667	Chimp	TCONS_00039772
Ortho2737	Human	TCONS_00079668	hsa_TCONS_00079668	Chimp	TCONS_00039774
Ortho2738	Human	TCONS_00079668	hsa_TCONS_00079668	Chimp	TCONS_00039775
Ortho2739	Human	TCONS_00079668	hsa_TCONS_00079668	Chimp	TCONS_00039776
Ortho2740	Human	TCONS_00079676	hsa_TCONS_00079676	Chimp	TCONS_00039782
Ortho2741	Human	TCONS_00079677	hsa_TCONS_00079677	Chimp	TCONS_00039783
Ortho2742	Human	TCONS_00079678	hsa_TCONS_00079678	Chimp	TCONS_00039784
Ortho2743	Human	TCONS_00079681	hsa_TCONS_00079681	Chimp	TCONS_00039788
Ortho2744	Human	TCONS_00079683	hsa_TCONS_00079683	Chimp	TCONS_00039787
Ortho2745	Human	TCONS_00079693	hsa_TCONS_00079693	Chimp	TCONS_00041318
Ortho2746	Human	TCONS_00079694	hsa_TCONS_00079694	Chimp	TCONS_00041318
Ortho2747	Human	TCONS_00079696	hsa_TCONS_00079696	Chimp	TCONS_00041316
Ortho2748	Human	TCONS_00079806	hsa_TCONS_00079806	Chimp	TCONS_00041268
Ortho2749	Human	TCONS_00079835	hsa_TCONS_00079835	Chimp	TCONS_00041257
Ortho2750	Human	TCONS_00079836	hsa_TCONS_00079836	Chimp	TCONS_00041257
Ortho2751	Human	TCONS_00079882	hsa_TCONS_00079882	Chimp	TCONS_00041228
Ortho2752	Human	TCONS_00079934	hsa_TCONS_00079934	Chimp	TCONS_00041209
Ortho2753	Human	TCONS_00079953	hsa_TCONS_00079953	Chimp	TCONS_00041195
Ortho2754	Human	TCONS_00079964	hsa_TCONS_00079964	Chimp	TCONS_00041186
Ortho2755	Human	TCONS_00079964	hsa_TCONS_00079964	Chimp	TCONS_00041187
Ortho2756	Human	TCONS_00079965	hsa_TCONS_00079965	Chimp	TCONS_00041186
Ortho2757	Human	TCONS_00079965	hsa_TCONS_00079965	Chimp	TCONS_00041187
Ortho2758	Human	TCONS_00079975	hsa_TCONS_00079975	Chimp	TCONS_00041182
Ortho2759	Human	TCONS_00079987	hsa_TCONS_00079987	Chimp	TCONS_00041164
Ortho2760	Human	TCONS_00079990	hsa_TCONS_00079990	Chimp	TCONS_00041170
Ortho2761	Human	TCONS_00079990	hsa_TCONS_00079990	Chimp	TCONS_00041171
Ortho2762	Human	TCONS_00079990	hsa_TCONS_00079990	Chimp	TCONS_00041172
Ortho2763	Human	TCONS_00079991	hsa_TCONS_00079991	Chimp	TCONS_00041168
Ortho2764	Human	TCONS_00079991	hsa_TCONS_00079991	Chimp	TCONS_00041169
Ortho2765	Human	TCONS_00079992	hsa_TCONS_00079992	Chimp	TCONS_00041168
Ortho2766	Human	TCONS_00079992	hsa_TCONS_00079992	Chimp	TCONS_00041169
Ortho2767	Human	TCONS_00080007	hsa_TCONS_00080007	Chimp	TCONS_00041152
Ortho2768	Human	TCONS_00080007	hsa_TCONS_00080007	Chimp	TCONS_00041153
Ortho2769	Human	TCONS_00080311	hsa_TCONS_00080311	Chimp	TCONS_00041040
Ortho2770	Human	TCONS_00080316	hsa_TCONS_00080316	Chimp	TCONS_00041039
Ortho2771	Human	TCONS_00080359	hsa_TCONS_00080359	Chimp	TCONS_00041022
Ortho2772	Human	TCONS_00080360	hsa_TCONS_00080360	Chimp	TCONS_00041022
Ortho2773	Human	TCONS_00080361	hsa_TCONS_00080361	Chimp	TCONS_00041022
Ortho2774	Human	TCONS_00080399	hsa_TCONS_00080399	Chimp	TCONS_00005182
Ortho2775	Human	TCONS_00080399	hsa_TCONS_00080399	Chimp	TCONS_00013488
Ortho2776	Human	TCONS_00080399	hsa_TCONS_00080399	Chimp	TCONS_00048834
Ortho2777	Human	TCONS_00080427	hsa_TCONS_00080427	Chimp	TCONS_00040990
Ortho2778	Human	TCONS_00080429	hsa_TCONS_00080429	Chimp	TCONS_00040987
Ortho2779	Human	TCONS_00080431	hsa_TCONS_00080431	Chimp	TCONS_00040986
Ortho2780	Human	TCONS_00080434	hsa_TCONS_00080434	Chimp	TCONS_00037074
Ortho2781	Human	TCONS_00080442	hsa_TCONS_00080442	Chimp	TCONS_00040980
Ortho2782	Human	TCONS_00080451	hsa_TCONS_00080451	Chimp	TCONS_00040974
Ortho2783	Human	TCONS_00080451	hsa_TCONS_00080451	Chimp	TCONS_00040975
Ortho2784	Human	TCONS_00080452	hsa_TCONS_00080452	Chimp	TCONS_00040974
Ortho2785	Human	TCONS_00080452	hsa_TCONS_00080452	Chimp	TCONS_00040975
Ortho2786	Human	TCONS_00080454	hsa_TCONS_00080454	Chimp	TCONS_00040974
Ortho2787	Human	TCONS_00080454	hsa_TCONS_00080454	Chimp	TCONS_00040975
Ortho2788	Human	TCONS_00080459	hsa_TCONS_00080459	Chimp	TCONS_00040976
Ortho2789	Human	TCONS_00080461	hsa_TCONS_00080461	Chimp	TCONS_00040974
Ortho2790	Human	TCONS_00080461	hsa_TCONS_00080461	Chimp	TCONS_00040975
Ortho2791	Human	TCONS_00080498	hsa_TCONS_00080498	Chimp	TCONS_00040956
Ortho2792	Human	TCONS_00080565	hsa_TCONS_00080565	Chimp	TCONS_00040168
Ortho2793	Human	TCONS_00080565	hsa_TCONS_00080565	Chimp	TCONS_00040169
Ortho2794	Human	TCONS_00080566	hsa_TCONS_00080566	Chimp	TCONS_00040171
Ortho2795	Human	TCONS_00080576	hsa_TCONS_00080576	Chimp	TCONS_00040177
Ortho2796	Human	TCONS_00080617	hsa_TCONS_00080617	Chimp	TCONS_00022057
Ortho2797	Human	TCONS_00080640	hsa_TCONS_00080640	Chimp	TCONS_00040205
Ortho2798	Human	TCONS_00080642	hsa_TCONS_00080642	Chimp	TCONS_00040206
Ortho2799	Human	TCONS_00080642	hsa_TCONS_00080642	Chimp	TCONS_00040207
Ortho2800	Human	TCONS_00080720	hsa_TCONS_00080720	Chimp	TCONS_00040243
Ortho2801	Human	TCONS_00080819	hsa_TCONS_00080819	Chimp	TCONS_00040300
Ortho2802	Human	TCONS_00080820	hsa_TCONS_00080820	Chimp	TCONS_00040300
Ortho2803	Human	TCONS_00080821	hsa_TCONS_00080821	Chimp	TCONS_00040300
Ortho2804	Human	TCONS_00080822	hsa_TCONS_00080822	Chimp	TCONS_00040300
Ortho2805	Human	TCONS_00080823	hsa_TCONS_00080823	Chimp	TCONS_00040300
Ortho2806	Human	TCONS_00080868	hsa_TCONS_00080868	Chimp	TCONS_00040318
Ortho2807	Human	TCONS_00080940	hsa_TCONS_00080940	Chimp	TCONS_00040354
Ortho2808	Human	TCONS_00080957	hsa_TCONS_00080957	Chimp	TCONS_00041539
Ortho2809	Human	TCONS_00081163	hsa_TCONS_00081163	Chimp	TCONS_00040454
Ortho2810	Human	TCONS_00081164	hsa_TCONS_00081164	Chimp	TCONS_00040455
Ortho2811	Human	TCONS_00081193	hsa_TCONS_00081193	Chimp	TCONS_00040484
Ortho2812	Human	TCONS_00081211	hsa_TCONS_00081211	Chimp	TCONS_00040493
Ortho2813	Human	TCONS_00081270	hsa_TCONS_00081270	Chimp	TCONS_00040531
Ortho2814	Human	TCONS_00081270	hsa_TCONS_00081270	Chimp	TCONS_00040532
Ortho2815	Human	TCONS_00081271	hsa_TCONS_00081271	Chimp	TCONS_00040531
Ortho2816	Human	TCONS_00081271	hsa_TCONS_00081271	Chimp	TCONS_00040532
Ortho2817	Human	TCONS_00081292	hsa_TCONS_00081292	Chimp	TCONS_00040540
Ortho2818	Human	TCONS_00081356	hsa_TCONS_00081356	Chimp	TCONS_00040572
Ortho2819	Human	TCONS_00081385	hsa_TCONS_00081385	Chimp	TCONS_00040580
Ortho2820	Human	TCONS_00081497	hsa_TCONS_00081497	Chimp	TCONS_00040623
Ortho2821	Human	TCONS_00081573	hsa_TCONS_00081573	Chimp	TCONS_00040660
Ortho2822	Human	TCONS_00081777	hsa_TCONS_00081777	Chimp	TCONS_00052210
Ortho2823	Human	TCONS_00081883	hsa_TCONS_00081883	Chimp	TCONS_00040787
Ortho2824	Human	TCONS_00081884	hsa_TCONS_00081884	Chimp	TCONS_00040786
Ortho2825	Human	TCONS_00082011	hsa_TCONS_00082011	Chimp	TCONS_00040874
Ortho2826	Human	TCONS_00082011	hsa_TCONS_00082011	Chimp	TCONS_00040875
Ortho2827	Human	TCONS_00082012	hsa_TCONS_00082012	Chimp	TCONS_00040874
Ortho2828	Human	TCONS_00082012	hsa_TCONS_00082012	Chimp	TCONS_00040875
Ortho2829	Human	TCONS_00082013	hsa_TCONS_00082013	Chimp	TCONS_00040876
Ortho2830	Human	TCONS_00082014	hsa_TCONS_00082014	Chimp	TCONS_00040876
Ortho2831	Human	TCONS_00082027	hsa_TCONS_00082027	Chimp	TCONS_00040886
Ortho2832	Human	TCONS_00082027	hsa_TCONS_00082027	Chimp	TCONS_00040887
Ortho2833	Human	TCONS_00082027	hsa_TCONS_00082027	Chimp	TCONS_00040888
Ortho2834	Human	TCONS_00082027	hsa_TCONS_00082027	Chimp	TCONS_00040889
Ortho2835	Human	TCONS_00082028	hsa_TCONS_00082028	Chimp	TCONS_00040890
Ortho2836	Human	TCONS_00082049	hsa_TCONS_00082049	Chimp	TCONS_00040896
Ortho2837	Human	TCONS_00082120	hsa_TCONS_00082120	Chimp	TCONS_00031615
Ortho2838	Human	TCONS_00082176	hsa_TCONS_00082176	Chimp	TCONS_00041340
Ortho2839	Human	TCONS_00082324	hsa_TCONS_00082324	Chimp	TCONS_00040033
Ortho2840	Human	TCONS_00082325	hsa_TCONS_00082325	Chimp	TCONS_00040033
Ortho2841	Human	TCONS_00082326	hsa_TCONS_00082326	Chimp	TCONS_00045313
Ortho2842	Human	TCONS_00082331	hsa_TCONS_00082331	Chimp	TCONS_00040031
Ortho2843	Human	TCONS_00082332	hsa_TCONS_00082332	Chimp	TCONS_00040031
Ortho2844	Human	TCONS_00082333	hsa_TCONS_00082333	Chimp	TCONS_00040027
Ortho2845	Human	TCONS_00082333	hsa_TCONS_00082333	Chimp	TCONS_00040029
Ortho2846	Human	TCONS_00082334	hsa_TCONS_00082334	Chimp	TCONS_00040027
Ortho2847	Human	TCONS_00082334	hsa_TCONS_00082334	Chimp	TCONS_00040029
Ortho2848	Human	TCONS_00082335	hsa_TCONS_00082335	Chimp	TCONS_00040027
Ortho2849	Human	TCONS_00082335	hsa_TCONS_00082335	Chimp	TCONS_00040029
Ortho2850	Human	TCONS_00082336	hsa_TCONS_00082336	Chimp	TCONS_00040027
Ortho2851	Human	TCONS_00082336	hsa_TCONS_00082336	Chimp	TCONS_00040029
Ortho2852	Human	TCONS_00082338	hsa_TCONS_00082338	Chimp	TCONS_00040028
Ortho2853	Human	TCONS_00082347	hsa_TCONS_00082347	Chimp	TCONS_00040022
Ortho2854	Human	TCONS_00082450	hsa_TCONS_00082450	Chimp	TCONS_00001200
Ortho2855	Human	TCONS_00082450	hsa_TCONS_00082450	Chimp	TCONS_00022074
Ortho2856	Human	TCONS_00082450	hsa_TCONS_00082450	Chimp	TCONS_00022075
Ortho2857	Human	TCONS_00082543	hsa_TCONS_00082543	Chimp	TCONS_00039951
Ortho2858	Human	TCONS_00082558	hsa_TCONS_00082558	Chimp	TCONS_00039948
Ortho2859	Human	TCONS_00082568	hsa_TCONS_00082568	Chimp	TCONS_00039940
Ortho2860	Human	TCONS_00082569	hsa_TCONS_00082569	Chimp	TCONS_00039939
Ortho2861	Human	TCONS_00082673	hsa_TCONS_00082673	Chimp	TCONS_00039895
Ortho2862	Human	TCONS_00082680	hsa_TCONS_00082680	Chimp	TCONS_00039888
Ortho2863	Human	TCONS_00082681	hsa_TCONS_00082681	Chimp	TCONS_00039888
Ortho2864	Human	TCONS_00082682	hsa_TCONS_00082682	Chimp	TCONS_00039888
Ortho2865	Human	TCONS_00082696	hsa_TCONS_00082696	Chimp	TCONS_00039882
Ortho2866	Human	TCONS_00082700	hsa_TCONS_00082700	Chimp	TCONS_00039878
Ortho2867	Human	TCONS_00082700	hsa_TCONS_00082700	Chimp	TCONS_00039879
Ortho2868	Human	TCONS_00082701	hsa_TCONS_00082701	Chimp	TCONS_00039878
Ortho2869	Human	TCONS_00082701	hsa_TCONS_00082701	Chimp	TCONS_00039879
Ortho2870	Human	TCONS_00082702	hsa_TCONS_00082702	Chimp	TCONS_00039878
Ortho2871	Human	TCONS_00082702	hsa_TCONS_00082702	Chimp	TCONS_00039879
Ortho2872	Human	TCONS_00082703	hsa_TCONS_00082703	Chimp	TCONS_00039878
Ortho2873	Human	TCONS_00082703	hsa_TCONS_00082703	Chimp	TCONS_00039879
Ortho2874	Human	TCONS_00082721	hsa_TCONS_00082721	Chimp	TCONS_00039866
Ortho2875	Human	TCONS_00082722	hsa_TCONS_00082722	Chimp	TCONS_00039866
Ortho2876	Human	TCONS_00082749	hsa_TCONS_00082749	Chimp	TCONS_00039849
Ortho2877	Human	TCONS_00082761	hsa_TCONS_00082761	Chimp	TCONS_00039847
Ortho2878	Human	TCONS_00082762	hsa_TCONS_00082762	Chimp	TCONS_00039847
Ortho2879	Human	TCONS_00082763	hsa_TCONS_00082763	Chimp	TCONS_00039847
Ortho2880	Human	TCONS_00082764	hsa_TCONS_00082764	Chimp	TCONS_00039847
Ortho2881	Human	TCONS_00082765	hsa_TCONS_00082765	Chimp	TCONS_00039847
Ortho2882	Human	TCONS_00082773	hsa_TCONS_00082773	Chimp	TCONS_00039843
Ortho2883	Human	TCONS_00082802	hsa_TCONS_00082802	Chimp	TCONS_00039829
Ortho2884	Human	TCONS_00082802	hsa_TCONS_00082802	Chimp	TCONS_00039830
Ortho2885	Human	TCONS_00082812	hsa_TCONS_00082812	Chimp	TCONS_00039818
Ortho2886	Human	TCONS_00082812	hsa_TCONS_00082812	Chimp	TCONS_00039819
Ortho2887	Human	TCONS_00082821	hsa_TCONS_00082821	Chimp	TCONS_00039816
Ortho2888	Human	TCONS_00082822	hsa_TCONS_00082822	Chimp	TCONS_00039814
Ortho2889	Human	TCONS_00082822	hsa_TCONS_00082822	Chimp	TCONS_00039815
Ortho2890	Human	TCONS_00082823	hsa_TCONS_00082823	Chimp	TCONS_00039814
Ortho2891	Human	TCONS_00082823	hsa_TCONS_00082823	Chimp	TCONS_00039815
Ortho2892	Human	TCONS_00082824	hsa_TCONS_00082824	Chimp	TCONS_00039814
Ortho2893	Human	TCONS_00082824	hsa_TCONS_00082824	Chimp	TCONS_00039815
Ortho2894	Human	TCONS_00082825	hsa_TCONS_00082825	Chimp	TCONS_00039814
Ortho2895	Human	TCONS_00082825	hsa_TCONS_00082825	Chimp	TCONS_00039815
Ortho2896	Human	TCONS_00082831	hsa_TCONS_00082831	Chimp	TCONS_00039814
Ortho2897	Human	TCONS_00082831	hsa_TCONS_00082831	Chimp	TCONS_00039815
Ortho2898	Human	TCONS_00082922	hsa_TCONS_00082922	Chimp	TCONS_00041351
Ortho2899	Human	TCONS_00082953	hsa_TCONS_00082953	Chimp	TCONS_00041364
Ortho2900	Human	TCONS_00082954	hsa_TCONS_00082954	Chimp	TCONS_00041364
Ortho2901	Human	TCONS_00082956	hsa_TCONS_00082956	Chimp	TCONS_00041364
Ortho2902	Human	TCONS_00082958	hsa_TCONS_00082958	Chimp	TCONS_00041367
Ortho2903	Human	TCONS_00082992	hsa_TCONS_00082992	Chimp	TCONS_00041384
Ortho2904	Human	TCONS_00083039	hsa_TCONS_00083039	Chimp	TCONS_00041407
